customer_id,campaign_type,touch_count,clicks,conversions
CUST_1000,Promotion banner,3,3,0
CUST_1000,Promotion banner,4,2,0
CUST_1000,SMS,3,0,1
CUST_1000,SMS,1,2,1
CUST_1001,SMS,2,1,0
CUST_1001,Email,4,3,0
CUST_1001,Push Notification,1,2,1
CUST_1001,Promotion banner,5,1,1
CUST_1002,Push Notification,1,3,0
CUST_1002,SMS,2,3,0
CUST_1002,Promotion banner,2,3,0
CUST_1003,SMS,2,2,0
CUST_1003,SMS,2,0,0
CUST_1003,SMS,3,2,0
CUST_1003,Email,1,2,0
CUST_1004,Push Notification,4,3,0
CUST_1004,Push Notification,5,1,1
CUST_1004,Promotion banner,1,3,1
CUST_1004,Push Notification,3,3,1
CUST_1005,Email,2,3,1
CUST_1005,Push Notification,5,0,1
CUST_1006,Promotion banner,5,3,0
CUST_1007,Email,5,1,0
CUST_1007,Push Notification,3,3,1
CUST_1008,Promotion banner,2,2,0
CUST_1008,Push Notification,3,0,1
CUST_1008,Email,4,0,0
CUST_1008,SMS,5,1,0
CUST_1009,Push Notification,5,1,1
CUST_1010,SMS,3,0,0
CUST_1010,Promotion banner,4,0,1
CUST_1010,Email,4,0,0
CUST_1010,SMS,3,1,1
CUST_1011,Email,2,0,0
CUST_1011,SMS,5,1,1
CUST_1011,SMS,2,2,0
CUST_1011,Push Notification,3,2,1
CUST_1012,Promotion banner,4,1,1
CUST_1012,SMS,1,0,1
CUST_1013,Push Notification,3,1,1
CUST_1014,SMS,1,0,1
CUST_1014,Email,5,1,0
CUST_1014,Email,1,1,0
CUST_1014,Push Notification,2,0,0
CUST_1015,Promotion banner,3,2,0
CUST_1015,Promotion banner,2,1,0
CUST_1015,Push Notification,1,3,0
CUST_1016,Promotion banner,3,2,0
CUST_1016,Email,2,3,1
CUST_1016,Email,2,0,0
CUST_1016,SMS,2,0,0
CUST_1017,SMS,3,3,0
CUST_1018,SMS,2,3,0
CUST_1019,Email,1,1,0
CUST_1019,Email,2,2,1
CUST_1020,Push Notification,3,1,0
CUST_1020,SMS,3,1,0
CUST_1020,Push Notification,2,1,0
CUST_1021,Promotion banner,5,0,0
CUST_1021,SMS,1,2,0
CUST_1021,SMS,1,2,0
CUST_1021,Email,5,0,1
CUST_1022,SMS,3,3,1
CUST_1022,SMS,5,0,1
CUST_1022,SMS,4,2,0
CUST_1023,SMS,2,3,1
CUST_1023,Promotion banner,3,0,0
CUST_1024,Promotion banner,3,3,0
CUST_1025,Push Notification,4,0,0
CUST_1026,SMS,5,0,0
CUST_1027,SMS,5,3,1
CUST_1027,Push Notification,1,1,0
CUST_1027,SMS,5,3,1
CUST_1027,Email,4,2,1
CUST_1028,Push Notification,3,1,0
CUST_1028,Email,3,3,0
CUST_1029,Promotion banner,3,1,0
CUST_1029,SMS,4,2,1
CUST_1029,Email,5,0,0
CUST_1030,Push Notification,4,2,0
CUST_1031,Push Notification,3,0,0
CUST_1031,Promotion banner,4,0,1
CUST_1031,Push Notification,3,1,1
CUST_1031,Email,1,3,1
CUST_1032,Push Notification,1,1,1
CUST_1032,SMS,3,0,0
CUST_1033,Push Notification,3,3,1
CUST_1033,Email,3,3,0
CUST_1033,SMS,3,3,0
CUST_1034,Email,4,1,0
CUST_1035,Email,1,3,1
CUST_1035,SMS,3,1,1
CUST_1035,Push Notification,4,2,0
CUST_1035,Push Notification,5,2,0
CUST_1036,SMS,1,3,0
CUST_1036,Push Notification,3,0,1
CUST_1036,Email,2,1,0
CUST_1037,Promotion banner,2,3,0
CUST_1037,SMS,5,2,1
CUST_1037,Push Notification,4,0,1
CUST_1038,Push Notification,2,3,1
CUST_1039,SMS,4,2,0
CUST_1039,Email,2,3,1
CUST_1039,Push Notification,3,0,1
CUST_1039,Promotion banner,2,2,0
CUST_1040,SMS,1,0,0
CUST_1040,SMS,1,3,0
CUST_1040,Email,1,3,0
CUST_1040,Push Notification,1,1,1
CUST_1041,Promotion banner,1,1,0
CUST_1042,SMS,1,3,1
CUST_1043,Push Notification,1,2,1
CUST_1043,Push Notification,4,3,1
CUST_1043,Email,3,2,0
CUST_1043,Push Notification,4,3,1
CUST_1044,Promotion banner,1,0,0
CUST_1044,Push Notification,4,0,0
CUST_1044,Email,5,0,0
CUST_1044,Promotion banner,3,3,0
CUST_1045,SMS,5,3,0
CUST_1046,Push Notification,4,2,0
CUST_1046,SMS,4,2,0
CUST_1046,SMS,5,0,0
CUST_1047,Email,5,1,1
CUST_1047,Push Notification,2,1,0
CUST_1047,SMS,2,1,1
CUST_1047,Push Notification,4,1,1
CUST_1048,Push Notification,3,3,0
CUST_1048,Push Notification,1,3,0
CUST_1048,Promotion banner,3,1,1
CUST_1049,Promotion banner,2,1,0
CUST_1049,Promotion banner,2,3,0
CUST_1050,SMS,3,2,0
CUST_1050,Push Notification,4,0,0
CUST_1050,Push Notification,5,3,1
CUST_1050,Push Notification,1,0,1
CUST_1051,Email,5,1,0
CUST_1051,Push Notification,4,2,1
CUST_1051,Email,5,1,1
CUST_1052,Push Notification,5,1,0
CUST_1052,Email,2,1,1
CUST_1053,Push Notification,4,2,0
CUST_1053,SMS,5,1,0
CUST_1053,Promotion banner,4,1,1
CUST_1053,SMS,1,3,0
CUST_1054,Email,5,2,0
CUST_1054,SMS,4,2,1
CUST_1054,Push Notification,2,3,0
CUST_1055,SMS,5,2,1
CUST_1055,Email,1,0,1
CUST_1056,Email,2,0,1
CUST_1057,Push Notification,1,3,1
CUST_1057,Promotion banner,5,2,1
CUST_1058,Promotion banner,4,1,1
CUST_1059,Email,2,3,0
CUST_1059,SMS,1,1,1
CUST_1059,Push Notification,3,3,0
CUST_1060,SMS,2,3,0
CUST_1060,SMS,4,1,1
CUST_1061,Promotion banner,1,1,0
CUST_1061,Email,2,1,1
CUST_1061,SMS,1,1,0
CUST_1061,Push Notification,2,0,1
CUST_1062,Push Notification,3,3,0
CUST_1062,Email,5,3,1
CUST_1062,Promotion banner,1,2,1
CUST_1062,Promotion banner,2,2,1
CUST_1063,Email,3,0,1
CUST_1064,Promotion banner,3,1,1
CUST_1064,Push Notification,1,0,0
CUST_1065,SMS,2,2,0
CUST_1066,Promotion banner,5,2,0
CUST_1067,Push Notification,4,0,0
CUST_1067,Email,5,1,0
CUST_1067,Email,2,0,0
CUST_1067,Push Notification,1,3,1
CUST_1068,Email,2,3,0
CUST_1068,Promotion banner,2,1,0
CUST_1069,Push Notification,4,1,0
CUST_1070,SMS,3,2,1
CUST_1070,Email,5,3,0
CUST_1071,SMS,2,1,0
CUST_1071,Push Notification,4,0,1
CUST_1071,Email,3,1,0
CUST_1072,SMS,3,0,1
CUST_1072,Email,2,0,1
CUST_1073,Email,3,2,1
CUST_1073,Push Notification,5,2,0
CUST_1073,Promotion banner,2,0,0
CUST_1074,Email,5,2,1
CUST_1075,Email,5,1,1
CUST_1075,SMS,1,0,1
CUST_1075,Push Notification,3,1,0
CUST_1075,Email,4,3,1
CUST_1076,Email,4,2,1
CUST_1076,Promotion banner,1,2,1
CUST_1076,Promotion banner,2,1,1
CUST_1077,Promotion banner,4,3,1
CUST_1077,Push Notification,5,0,1
CUST_1077,SMS,1,0,1
CUST_1077,Promotion banner,3,3,1
CUST_1078,SMS,4,2,1
CUST_1079,SMS,3,3,1
CUST_1079,SMS,2,0,0
CUST_1080,Push Notification,5,1,1
CUST_1081,Email,4,2,1
CUST_1082,Email,1,0,0
CUST_1083,SMS,5,2,1
CUST_1084,Push Notification,5,3,0
CUST_1084,Email,5,0,0
CUST_1084,SMS,4,0,1
CUST_1085,Email,4,3,1
CUST_1085,Promotion banner,2,3,0
CUST_1085,Promotion banner,4,0,0
CUST_1086,SMS,5,3,0
CUST_1086,SMS,3,0,0
CUST_1086,Email,5,1,0
CUST_1087,SMS,3,3,1
CUST_1087,SMS,1,0,1
CUST_1087,SMS,3,2,1
CUST_1088,SMS,2,1,0
CUST_1088,Promotion banner,4,2,0
CUST_1088,Push Notification,5,2,0
CUST_1088,Email,4,0,1
CUST_1089,SMS,4,3,0
CUST_1089,SMS,4,3,1
CUST_1090,Promotion banner,3,2,0
CUST_1090,Email,3,0,0
CUST_1090,Promotion banner,2,2,0
CUST_1090,Promotion banner,1,2,0
CUST_1091,Email,2,3,0
