customer_id,month,billed_amount,paid_amount,payment_delay_days
CUST_1000,1,106.91,106.91,0
CUST_1000,2,107.4,107.4,0
CUST_1000,3,98.28,98.28,0
CUST_1000,4,102.18,99.62,1
CUST_1000,5,111.47,111.47,0
CUST_1000,6,109.78,109.78,0
CUST_1000,7,100.51,100.51,0
CUST_1000,8,108.42,108.42,0
CUST_1000,9,109.77,89.79,4
CUST_1000,10,101.21,101.21,0
CUST_1000,11,99.25,99.25,0
CUST_1000,12,99.39,86.37,1
CUST_1001,1,117.58,117.58,0
CUST_1001,2,120.18,120.18,0
CUST_1001,3,107.48,107.48,0
CUST_1001,4,110.31,110.31,0
CUST_1001,5,109.75,106.48,2
CUST_1001,6,110.61,110.61,0
CUST_1001,7,114.09,110.28,2
CUST_1001,8,106.9,91.57,1
CUST_1001,9,118.31,118.31,0
CUST_1001,10,116.59,116.59,0
CUST_1001,11,112.98,112.98,0
CUST_1001,12,106.88,106.88,0
CUST_1002,1,49.77,45.41,4
CUST_1002,2,37.58,37.58,0
CUST_1002,3,37.77,37.77,0
CUST_1002,4,45.53,45.53,0
CUST_1002,5,38.91,28.12,4
CUST_1002,6,38.76,38.76,0
CUST_1002,7,46.9,46.9,0
CUST_1002,8,38.91,38.91,0
CUST_1002,9,35.9,16.83,1
CUST_1002,10,49.51,49.51,0
CUST_1002,11,49.23,49.23,0
CUST_1002,12,48.87,48.87,0
CUST_1003,1,87.08,87.08,0
CUST_1003,2,100.18,100.18,0
CUST_1003,3,90.17,90.17,0
CUST_1003,4,99.17,99.17,0
CUST_1003,5,100.18,100.18,0
CUST_1003,6,91.72,91.72,0
CUST_1003,7,90.61,90.61,0
CUST_1003,8,100.03,82.84,2
CUST_1003,9,90.31,90.31,0
CUST_1003,10,95.75,95.75,0
CUST_1003,11,99.66,97.5,1
CUST_1003,12,92.54,92.54,0
CUST_1004,1,61.82,61.82,0
CUST_1004,2,66.16,66.16,0
CUST_1004,3,60.0,60.0,0
CUST_1004,4,57.01,57.01,0
CUST_1004,5,56.03,45.51,1
CUST_1004,6,64.27,64.27,0
CUST_1004,7,61.67,61.67,0
CUST_1004,8,55.23,55.23,0
CUST_1004,9,64.79,64.79,0
CUST_1004,10,52.08,52.08,0
CUST_1004,11,58.37,58.37,0
CUST_1004,12,52.86,52.86,0
CUST_1005,1,46.0,46.0,0
CUST_1005,2,44.35,44.35,0
CUST_1005,3,54.72,54.72,0
CUST_1005,4,45.02,45.02,0
CUST_1005,5,51.42,51.42,0
CUST_1005,6,46.23,28.51,0
CUST_1005,7,44.09,44.09,0
CUST_1005,8,47.2,47.2,0
CUST_1005,9,44.87,44.87,0
CUST_1005,10,55.84,55.84,0
CUST_1005,11,43.66,43.66,0
CUST_1005,12,52.93,52.93,0
CUST_1006,1,55.63,55.63,0
CUST_1006,2,55.65,55.65,0
CUST_1006,3,56.7,56.7,0
CUST_1006,4,50.28,50.28,0
CUST_1006,5,58.12,58.12,0
CUST_1006,6,48.12,48.12,0
CUST_1006,7,51.2,34.13,0
CUST_1006,8,48.15,48.15,0
CUST_1006,9,49.15,29.23,2
CUST_1006,10,51.33,51.33,0
CUST_1006,11,56.67,56.67,0
CUST_1006,12,58.12,58.12,0
CUST_1007,1,55.72,55.72,0
CUST_1007,2,61.37,61.37,0
CUST_1007,3,55.34,44.61,3
CUST_1007,4,58.74,58.74,0
CUST_1007,5,49.78,49.78,0
CUST_1007,6,57.86,57.86,0
CUST_1007,7,56.44,56.44,0
CUST_1007,8,58.45,41.67,2
CUST_1007,9,57.94,57.94,0
CUST_1007,10,56.67,56.67,0
CUST_1007,11,60.09,60.09,0
CUST_1007,12,55.55,55.55,0
CUST_1008,1,58.83,53.84,1
CUST_1008,2,62.97,62.97,0
CUST_1008,3,51.26,51.26,0
CUST_1008,4,56.84,56.84,0
CUST_1008,5,63.38,63.38,0
CUST_1008,6,62.23,62.23,0
CUST_1008,7,52.41,50.91,1
CUST_1008,8,55.01,47.79,1
CUST_1008,9,58.93,58.93,0
CUST_1008,10,51.48,51.48,0
CUST_1008,11,54.05,54.05,0
CUST_1008,12,61.54,61.54,0
CUST_1009,1,51.79,51.79,0
CUST_1009,2,49.2,42.06,0
CUST_1009,3,56.9,56.9,0
CUST_1009,4,54.06,54.06,0
CUST_1009,5,60.27,60.27,0
CUST_1009,6,61.66,61.66,0
CUST_1009,7,52.68,52.68,0
CUST_1009,8,47.56,47.56,0
CUST_1009,9,54.6,48.2,0
CUST_1009,10,50.33,50.33,0
CUST_1009,11,50.62,50.62,0
CUST_1009,12,47.79,47.79,0
CUST_1010,1,55.54,43.99,4
CUST_1010,2,45.45,28.1,6
CUST_1010,3,51.27,35.3,4
CUST_1010,4,54.49,54.49,0
CUST_1010,5,48.14,48.14,0
CUST_1010,6,45.68,45.68,0
CUST_1010,7,51.89,51.89,0
CUST_1010,8,51.15,42.38,1
CUST_1010,9,47.89,47.89,0
CUST_1010,10,45.43,45.43,0
CUST_1010,11,51.0,51.0,0
CUST_1010,12,60.11,60.11,0
CUST_1011,1,81.09,81.09,0
CUST_1011,2,79.27,75.57,4
CUST_1011,3,83.68,83.68,0
CUST_1011,4,72.55,72.55,0
CUST_1011,5,78.53,78.53,0
CUST_1011,6,84.57,84.57,0
CUST_1011,7,73.02,73.02,0
CUST_1011,8,77.55,77.55,0
CUST_1011,9,78.2,78.2,0
CUST_1011,10,75.06,75.06,0
CUST_1011,11,83.17,72.18,4
CUST_1011,12,70.23,70.23,0
CUST_1012,1,89.06,89.06,0
CUST_1012,2,85.91,85.91,0
CUST_1012,3,82.99,82.99,0
CUST_1012,4,86.86,86.86,0
CUST_1012,5,92.16,92.16,0
CUST_1012,6,87.32,87.32,0
CUST_1012,7,82.68,82.68,0
CUST_1012,8,91.87,91.87,0
CUST_1012,9,82.95,82.95,0
CUST_1012,10,85.15,85.15,0
