customer_id,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
CUST_1000,101.47,109.89,112.55,107.72,116.36,115.97,113.96,97.62,119.2,93.49,117.25,95.34
CUST_1001,124.62,112.89,108.33,107.08,118.3,115.75,106.64,117.96,124.79,103.38,108.6,117.95
CUST_1002,31.4,54.13,48.58,49.69,33.45,36.42,55.39,36.69,44.69,52.95,57.92,49.2
CUST_1003,93.73,98.92,107.32,97.55,109.33,82.56,108.13,109.79,106.36,104.64,86.58,111.06
CUST_1004,51.2,55.12,63.21,71.05,64.47,74.74,53.46,47.36,50.25,47.97,64.12,73.09
CUST_1005,43.51,62.01,39.83,56.81,44.82,61.7,43.31,65.85,44.89,55.24,59.6,61.07
CUST_1006,58.79,58.85,52.28,66.15,63.69,43.42,59.07,64.64,61.73,61.63,54.31,51.87
CUST_1007,59.93,45.54,49.47,58.66,60.06,64.43,70.68,45.92,48.46,61.74,50.41,52.66
CUST_1008,74.72,54.56,64.32,58.72,55.57,55.52,69.53,56.24,73.9,45.54,61.88,57.9
CUST_1009,44.57,45.52,51.23,44.39,69.44,69.48,64.77,66.77,48.78,64.78,69.14,42.07
CUST_1010,46.56,62.63,57.72,64.6,42.85,51.1,57.19,63.88,57.45,47.81,64.77,63.32
CUST_1011,92.51,83.59,67.71,71.66,75.53,85.84,74.39,76.54,70.96,84.17,69.07,76.94
CUST_1012,74.64,78.94,96.65,86.05,79.89,97.14,82.98,102.54,103.55,93.89,79.75,98.84
CUST_1013,131.09,121.67,129.82,115.11,118.34,107.13,125.78,123.28,117.86,127.31,110.97,117.28
CUST_1014,65.87,47.78,56.07,65.43,64.76,75.9,46.35,59.52,71.31,65.46,56.3,67.65
CUST_1015,133.71,110.68,121.24,109.2,130.52,115.83,135.81,129.42,129.61,135.13,137.72,110.68
CUST_1016,108.58,87.67,94.41,84.39,101.67,95.42,89.25,106.48,110.87,105.62,105.41,103.69
CUST_1017,76.74,86.21,98.06,102.18,79.39,76.87,81.02,94.21,73.31,84.4,80.18,89.47
CUST_1018,126.47,122.63,117.23,108.62,113.77,125.37,127.2,119.63,113.0,116.49,106.5,105.04
CUST_1019,103.39,84.63,83.26,103.93,94.51,89.17,90.13,98.77,87.97,76.67,74.6,81.42
CUST_1020,79.61,87.68,78.32,99.11,74.92,91.24,94.26,98.02,80.9,92.95,103.61,86.66
CUST_1021,125.32,97.7,112.12,114.7,119.12,113.35,106.97,120.11,110.57,103.86,97.25,102.46
CUST_1022,75.31,93.8,83.13,69.53,81.99,81.73,70.81,85.11,86.76,74.36,79.01,94.92
CUST_1023,24.23,26.3,48.07,44.13,25.97,47.06,48.88,33.86,48.91,43.92,48.58,50.94
CUST_1024,62.42,73.9,60.38,45.51,55.92,53.14,74.89,74.28,48.65,55.38,52.02,73.12
CUST_1025,82.52,71.28,79.76,65.92,59.49,83.04,64.79,80.44,80.42,68.27,59.85,67.46
CUST_1026,119.89,125.78,123.8,125.68,131.18,120.1,120.45,126.96,131.67,128.94,108.43,124.65
CUST_1027,85.97,89.79,69.25,72.06,77.64,78.71,86.6,69.2,75.01,66.75,86.58,88.26
CUST_1028,89.4,98.34,102.32,93.01,77.45,89.01,75.57,76.73,103.57,99.63,101.99,95.3
CUST_1029,74.58,74.43,90.53,87.59,63.27,90.9,78.23,64.57,68.66,67.08,82.74,66.84
CUST_1030,31.54,49.13,27.41,27.81,28.93,27.96,33.24,45.26,23.63,38.83,35.64,43.22
CUST_1031,48.54,34.54,44.52,52.45,26.84,28.92,26.1,43.57,38.95,37.41,38.4,24.09
CUST_1032,115.33,117.03,131.95,120.78,118.58,110.38,119.75,118.93,120.89,122.57,112.59,129.45
CUST_1033,79.66,72.76,53.41,70.26,68.28,53.36,54.2,57.93,71.6,56.17,70.74,71.75
CUST_1034,77.97,88.54,91.32,96.68,90.47,76.8,87.3,85.28,102.9,105.61,102.67,86.91
CUST_1035,107.28,100.39,97.41,102.04,99.38,107.54,122.68,120.87,123.95,124.98,117.65,114.27
CUST_1036,81.49,105.82,100.64,104.45,83.6,81.04,90.04,78.79,99.31,92.15,104.49,91.49
CUST_1037,101.91,117.22,95.38,117.89,107.66,115.75,109.37,96.57,121.2,111.37,98.39,110.03
CUST_1038,68.23,60.99,64.27,78.92,81.65,66.39,76.59,64.31,85.71,61.93,82.0,84.73
CUST_1039,109.67,94.83,119.22,108.19,100.49,112.47,104.38,99.54,123.41,98.83,104.85,119.8
CUST_1040,80.73,92.68,76.29,102.22,83.04,74.9,91.92,89.26,86.46,97.02,89.96,82.05
CUST_1041,99.2,100.14,100.84,111.4,99.78,120.4,120.72,102.94,96.56,106.32,115.52,98.77
CUST_1042,95.26,116.51,113.55,117.08,108.4,116.18,109.77,114.07,121.67,121.01,112.47,110.74
CUST_1043,46.04,40.76,21.02,23.31,24.21,43.06,26.35,34.19,30.76,22.54,36.73,29.26
CUST_1044,82.49,98.34,79.57,97.2,81.89,95.53,80.54,71.61,87.12,94.73,92.45,94.84
CUST_1045,93.2,100.43,98.49,93.87,100.85,88.12,85.04,99.44,92.48,71.94,78.8,77.71
CUST_1046,123.6,113.25,104.28,112.44,114.23,112.72,108.38,117.05,120.09,119.7,115.78,120.57
CUST_1047,98.83,114.14,89.15,102.62,105.04,95.64,106.99,93.46,94.65,105.27,94.14,104.41
CUST_1048,124.15,122.17,123.12,124.56,131.95,118.73,129.44,112.76,125.22,127.25,115.97,131.79
CUST_1049,95.17,82.6,85.58,82.94,86.8,106.85,107.92,86.09,105.11,90.74,93.22,108.51
CUST_1050,98.96,124.72,123.97,108.18,118.22,98.21,112.8,101.18,115.71,98.75,106.38,103.63
CUST_1051,58.08,54.12,64.62,72.34,75.09,67.31,55.58,56.91,80.72,66.35,77.4,63.06
CUST_1052,91.39,84.53,107.47,108.33,108.15,93.11,104.8,109.48,98.0,102.22,83.78,97.4
CUST_1053,92.12,68.95,95.04,67.88,84.38,79.8,80.81,96.66,72.32,83.04,83.3,68.39
CUST_1054,117.92,121.09,134.25,129.85,131.52,121.18,119.03,127.13,128.1,110.86,112.48,132.28
CUST_1055,49.4,46.32,35.73,45.79,33.68,26.68,26.94,23.73,47.09,37.93,30.73,51.88
CUST_1056,39.28,28.26,31.68,48.02,52.82,48.24,47.75,49.55,49.51,48.95,30.03,32.22
CUST_1057,84.56,87.28,64.92,66.62,71.67,89.12,63.29,79.91,63.0,75.52,79.54,75.47
CUST_1058,130.06,113.53,127.2,111.67,120.28,123.75,128.84,125.41,125.99,133.15,113.66,115.56
CUST_1059,87.6,104.05,83.86,95.57,96.21,95.87,84.61,84.76,85.54,93.33,104.8,106.67
CUST_1060,71.28,71.75,81.78,60.45,64.48,55.36,57.93,68.05,60.43,67.56,68.55,62.95
CUST_1061,90.73,83.36,69.33,79.55,80.69,70.86,97.17,74.77,90.9,82.68,94.72,85.63
CUST_1062,100.34,87.92,102.42,92.06,90.81,96.19,94.6,79.97,100.41,78.97,89.64,91.94
CUST_1063,37.7,27.21,31.56,41.96,33.35,22.64,23.58,32.45,43.84,37.86,38.13,31.57
CUST_1064,134.13,126.54,134.63,122.8,121.16,134.84,125.11,106.69,122.2,109.67,125.46,119.43
CUST_1065,30.86,34.49,47.93,31.4,49.38,57.84,47.1,50.48,52.46,52.6,38.87,56.63
CUST_1066,62.28,58.01,42.32,54.27,44.2,58.69,40.21,61.35,40.93,58.12,58.55,60.15
CUST_1067,60.15,61.77,59.42,64.48,55.78,65.99,73.34,78.59,68.35,66.22,54.14,62.67
CUST_1068,57.5,71.1,73.25,75.96,60.46,62.01,72.39,51.38,74.56,53.79,78.0,78.44
CUST_1069,103.81,87.61,101.7,90.03,94.69,92.12,82.76,93.36,103.33,77.98,92.65,82.64
CUST_1070,50.69,66.27,75.43,66.61,62.55,66.42,74.14,73.2,59.59,46.03,64.46,57.08
CUST_1071,133.37,121.38,113.08,128.58,128.27,125.94,110.39,111.02,130.77,104.12,132.68,112.36
CUST_1072,52.96,64.32,46.11,61.33,43.04,62.95,59.79,48.7,59.52,58.28,55.37,55.92
CUST_1073,51.97,28.77,53.51,45.28,54.67,53.0,44.28,25.16,33.55,28.62,53.52,31.7
CUST_1074,60.35,83.89,70.43,68.7,72.73,64.26,76.65,70.45,58.81,70.57,58.19,63.25
CUST_1075,115.62,104.04,102.05,97.66,102.89,103.95,98.83,118.92,117.24,93.37,97.68,115.99
CUST_1076,85.59,98.82,92.64,79.51,84.53,104.85,98.34,83.59,83.93,81.59,91.46,96.22
CUST_1077,130.2,129.17,106.48,116.63,104.1,107.16,130.55,119.23,123.2,126.38,119.32,122.34
CUST_1078,30.45,48.65,29.04,34.7,38.55,37.41,30.02,23.19,40.83,32.67,21.49,24.33
CUST_1079,108.42,108.31,107.71,99.54,99.49,102.19,100.94,87.82,103.46,91.81,95.5,92.87
CUST_1080,62.38,59.83,51.14,58.2,42.26,59.12,49.39,60.99,50.98,49.62,49.77,50.59
CUST_1081,45.99,35.47,48.45,35.39,41.51,39.5,43.31,50.18,62.82,56.4,62.99,55.48
CUST_1082,92.3,84.05,86.95,110.34,87.11,84.4,82.26,90.21,84.86,95.88,80.69,102.64
CUST_1083,36.8,40.67,40.02,51.01,60.66,34.4,53.94,53.49,54.55,38.25,53.8,33.93
CUST_1084,110.27,124.21,119.04,125.88,119.13,129.34,130.84,118.08,127.1,119.42,124.29,117.79
CUST_1085,63.56,46.72,37.09,37.65,38.97,44.83,63.54,51.6,55.96,46.94,56.57,56.25
CUST_1086,60.51,74.29,53.46,65.26,79.46,63.55,73.72,59.36,57.49,82.39,83.37,72.94
CUST_1087,55.08,58.41,65.52,54.89,43.63,51.68,43.66,54.53,60.85,64.81,72.73,56.98
CUST_1088,72.04,63.02,64.65,81.85,54.03,61.45,59.77,62.24,61.58,52.82,79.88,62.11
CUST_1089,108.63,119.59,115.02,126.79,112.58,106.93,109.56,107.31,125.19,107.52,122.82,123.8
CUST_1090,48.87,52.36,48.82,39.14,35.85,41.18,54.77,36.56,51.3,59.06,41.7,46.85
CUST_1091,37.95,55.76,57.07,48.24,56.35,49.59,50.01,59.31,55.16,52.55,45.04,57.36
CUST_1092,51.47,48.41,45.43,54.81,49.87,46.48,50.21,61.22,50.05,64.71,41.36,55.39
CUST_1093,80.39,80.49,66.03,67.06,83.56,78.29,62.32,74.04,70.0,70.69,85.63,66.77
CUST_1094,123.28,112.33,114.76,131.07,112.01,114.72,115.92,120.22,119.25,131.42,117.43,117.43
CUST_1095,94.94,96.13,106.42,111.09,89.53,106.29,97.63,94.63,110.62,108.9,85.31,112.1
CUST_1096,111.13,110.55,91.9,102.17,103.14,96.32,92.73,109.32,97.78,91.5,87.32,91.71
CUST_1097,61.67,67.92,63.19,50.93,63.49,49.24,49.08,62.19,52.05,71.53,67.53,71.11
CUST_1098,52.61,72.55,47.21,63.64,59.99,61.46,65.94,49.94,51.78,56.02,46.54,67.21
CUST_1099,102.93,95.13,89.25,94.07,79.34,90.48,94.39,85.24,90.46,78.35,81.92,101.46
CUST_1100,100.95,74.13,92.58,94.9,98.6,92.54,99.18,95.77,99.86,90.52,87.84,86.23
CUST_1101,80.22,98.72,85.33,78.24,101.32,100.06,97.19,101.98,102.77,85.25,84.68,92.99
CUST_1102,87.94,98.84,93.44,103.18,80.31,86.7,101.69,81.89,86.0,84.4,97.47,99.39
CUST_1103,28.37,39.07,51.78,45.58,42.46,46.78,32.96,34.98,46.56,35.59,41.13,26.28
CUST_1104,59.06,73.11,58.97,66.28,63.22,58.28,63.6,68.99,61.34,83.83,69.72,74.19
CUST_1105,85.13,103.1,93.05,98.2,99.36,86.25,107.87,92.0,80.47,89.25,103.29,103.12
CUST_1106,73.13,71.66,75.29,62.19,71.01,64.7,64.99,76.08,58.0,66.96,53.84,74.12
CUST_1107,52.15,46.1,47.33,47.17,29.17,49.83,49.8,29.18,49.29,52.4,46.73,25.14
CUST_1108,115.36,116.14,129.34,132.58,124.11,132.59,114.33,114.22,129.77,135.79,116.76,127.63
CUST_1109,93.9,95.5,101.04,91.97,105.59,86.82,106.06,85.99,83.04,102.29,88.83,97.44
CUST_1110,60.63,63.01,50.23,60.04,71.54,68.64,64.63,74.04,76.09,59.74,54.58,64.89
CUST_1111,97.87,118.04,116.13,96.87,118.14,98.82,109.32,97.55,106.36,104.73,102.99,105.64
CUST_1112,95.81,99.99,111.11,108.06,101.2,92.67,103.72,102.17,92.74,93.34,91.89,87.69
CUST_1113,111.73,110.18,118.44,128.3,125.43,107.95,113.04,128.9,113.69,106.22,130.9,122.08
