customer_id,gender,senior_citizen,partner,dependents,tenure_months,contract_type,internet_service,monthly_charges,total_charges,region
CUST_1000,Female,0,1,1,17,Month-to-month, None,102.96,1731.03,Delaware
CUST_1001,Female,0,0,1,41,One year,fibre optic,110.34,4561.52,Maryland
CUST_1002,Male,0,0,1,29,Two years,fibre optic,40.78,1176.21,Tennessee
CUST_1003,Male,1,1,0,4,Two years,DSL,92.07,404.65,Colorado
CUST_1004,Male,0,0,1,62,Two years,fibre optic,56.82,3540.42,Alabama
CUST_1005,Female,1,0,0,32,Month-to-month,DSL,46.39,1496.15,Minnesota
CUST_1006,Male,0,1,0,15,Two years,fibre optic,48.29,729.27,Washington
CUST_1007,Female,0,1,1,47,One year,DSL,52.84,2479.18,Pennsylvania
CUST_1008,Female,0,1,1,57,Month-to-month,fibre optic,54.93,3116.56,North Dakota
CUST_1009,Female,0,1,0,23,Month-to-month, None,51.84,1207.39,Colorado
CUST_1010,Female,0,0,0,41,Month-to-month,fibre optic,50.23,2079.08,Maryland
CUST_1011,Male,1,0,1,65,One year,fibre optic,75.03,4923.72,Minnesota
CUST_1012,Female,0,0,0,70,Two years,DSL,83.96,5915.6,Texas
CUST_1013,Male,0,0,0,59,Month-to-month,DSL,112.71,6680.36,Texas
CUST_1014,Male,0,1,0,11,One year,DSL,56.19,621.73,New Hampshire
CUST_1015,Male,0,0,0,9,One year,fibre optic,118.23,1057.91,Tennessee
CUST_1016,Male,0,1,0,61,One year,fibre optic,91.36,5577.62,Utah
CUST_1017,Female,1,0,1,7,Month-to-month,fibre optic,82.84,627.41,Washington
CUST_1018,Male,0,1,0,19,Month-to-month,fibre optic,110.78,2103.89,West Virginia
CUST_1019,Male,1,1,0,67,Two years,fibre optic,84.45,5687.33,Maryland
CUST_1020,Male,0,0,1,4,Month-to-month,DSL,83.8,353.1,Nebraska
CUST_1021,Female,0,1,0,60,Month-to-month,fibre optic,106.48,6377.21,Kansas
CUST_1022,Female,0,0,0,48,One year,fibre optic,79.48,3854.2,Kentucky
CUST_1023,Male,0,1,1,41,Month-to-month,fibre optic,31.47,1304.34,Idaho
CUST_1024,Male,1,0,1,28,Two years, None,54.94,1579.87,California
CUST_1025,Female,1,1,0,33,Month-to-month,DSL,66.95,2222.95,Connecticut
CUST_1026,Male,1,0,0,21,Month-to-month,fibre optic,116.38,2456.88,Oklahoma
CUST_1027,Female,0,0,1,55,Two years, None,71.08,3918.45,North Dakota
CUST_1028,Female,1,1,0,33,One year,DSL,84.58,2772.34,Illinois
CUST_1029,Male,0,0,0,71,Two years, None,73.16,5239.14,Kansas
CUST_1030,Female,1,1,0,53,One year,DSL,33.61,1786.25,Rhode Island
CUST_1031,Male,0,0,1,49,Month-to-month,fibre optic,33.72,1647.56,Minnesota
CUST_1032,Male,0,0,0,36,Month-to-month,DSL,119.53,4304.71,Montana
CUST_1033,Female,0,1,0,27,Month-to-month,fibre optic,60.08,1618.44,New Mexico
CUST_1034,Male,0,1,1,32,One year,fibre optic,86.14,2783.88,Washington
CUST_1035,Female,0,0,0,66,Month-to-month,fibre optic,107.04,7090.65,New Hampshire
CUST_1036,Female,1,1,0,5,One year,fibre optic,88.53,444.43,Ohio
CUST_1037,Male,0,0,0,31,Month-to-month,fibre optic,101.89,3144.26,Missouri
CUST_1038,Female,0,0,1,42,Month-to-month,DSL,67.0,2850.4,Montana
CUST_1039,Male,1,1,1,55,Two years,DSL,104.74,5799.26,Hawaii
CUST_1040,Male,0,1,1,20,One year, None,84.79,1724.48,New Mexico
CUST_1041,Female,0,0,1,11,Month-to-month,fibre optic,103.29,1134.64,Indiana
CUST_1042,Male,0,1,0,61,Month-to-month,fibre optic,102.98,6308.67,West Virginia
CUST_1043,Male,0,1,0,9,Two years,DSL,30.23,256.64,Colorado
CUST_1044,Female,0,0,0,20,Month-to-month,fibre optic,81.59,1676.82,Virginia
CUST_1045,Female,0,0,1,1,One year,fibre optic,81.77,62.16,Missouri
CUST_1046,Female,0,1,1,7,Month-to-month,fibre optic,110.94,789.02,Alaska
CUST_1047,Male,0,0,1,38,One year,DSL,98.72,3796.93,Iowa
CUST_1048,Male,0,1,1,23,Month-to-month,fibre optic,111.96,2558.49,South Carolina
CUST_1049,Female,0,0,0,47,One year,DSL,91.39,4312.12,Nebraska
CUST_1050,Female,0,0,1,55,One year,fibre optic,107.1,5940.05,North Carolina
CUST_1051,Female,0,1,0,39,Month-to-month, None,62.78,2495.37,Nebraska
CUST_1052,Female,0,1,1,11,Two years,fibre optic,93.55,1024.42,Massachusetts
CUST_1053,Male,0,1,0,69,Two years,fibre optic,77.46,5362.84,Michigan
CUST_1054,Male,0,0,0,7,One year,fibre optic,115.69,797.98,Virginia
CUST_1055,Male,1,1,0,7,Month-to-month,fibre optic,32.37,261.44,Delaware
CUST_1056,Male,1,0,1,66,Month-to-month,DSL,36.53,2425.62,South Dakota
CUST_1057,Male,0,0,0,8,One year,fibre optic,70.69,592.21,Delaware
CUST_1058,Female,0,0,1,26,Month-to-month,fibre optic,115.84,3057.82,New Hampshire
CUST_1059,Male,0,1,0,1,One year,DSL,92.57,117.82,Nebraska
CUST_1060,Female,0,0,0,21,Month-to-month,fibre optic,63.61,1367.94,Maine
CUST_1061,Male,0,0,1,11,Two years,fibre optic,77.41,875.79,Florida
CUST_1062,Female,0,1,1,8,One year,fibre optic,87.43,714.25,Georgia
CUST_1063,Female,0,1,0,64,Month-to-month,fibre optic,31.73,2079.67,Nebraska
CUST_1064,Male,0,0,0,11,One year,fibre optic,115.88,1293.88,Arkansas
CUST_1065,Male,0,1,1,21,Two years,fibre optic,40.84,870.83,New York
CUST_1066,Male,0,0,1,28,One year,DSL,44.24,1269.84,Nebraska
CUST_1067,Female,0,0,1,57,Two years,fibre optic,63.52,3608.57,New York
CUST_1068,Female,0,1,0,18,One year, None,60.76,1123.8,Wyoming
CUST_1069,Female,0,1,1,6,One year,DSL,86.09,556.33,Delaware
CUST_1070,Male,0,1,1,54,Month-to-month,fibre optic,55.87,3009.48,Oklahoma
CUST_1071,Male,1,0,0,71,Two years, None,113.45,8038.51,Oklahoma
CUST_1072,Female,0,1,0,1,Two years,DSL,50.57,61.12,Wisconsin
CUST_1073,Male,1,0,0,6,One year,fibre optic,35.12,202.48,Tennessee
CUST_1074,Male,0,0,0,58,Two years,fibre optic,65.61,3807.35,Montana
CUST_1075,Female,0,1,0,35,Month-to-month,fibre optic,101.15,3577.85,Maryland
CUST_1076,Female,0,1,1,40,Month-to-month,fibre optic,85.45,3435.26,Kansas
CUST_1077,Male,0,1,0,8,One year,fibre optic,111.7,921.16,Vermont
CUST_1078,Female,0,1,0,6,One year,fibre optic,31.23,226.97,Alabama
CUST_1079,Female,0,1,0,33,Month-to-month, None,94.29,3101.92,Delaware
CUST_1080,Male,0,1,0,59,Month-to-month, None,42.42,2545.08,Georgia
CUST_1081,Male,0,1,0,22,Month-to-month,DSL,43.17,961.9,Rhode Island
CUST_1082,Male,0,1,1,54,Month-to-month,DSL,90.45,4886.67,Colorado
CUST_1083,Female,0,0,1,35,Month-to-month,DSL,42.03,1513.55,Oregon
CUST_1084,Female,0,1,0,43,Two years,fibre optic,111.79,4802.3,South Carolina
CUST_1085,Female,0,0,0,36,Two years,fibre optic,46.3,1695.54,North Carolina
CUST_1086,Female,0,0,0,24,Month-to-month,fibre optic,63.37,1541.07,Minnesota
CUST_1087,Male,0,0,1,61,One year,DSL,53.14,3260.52,Florida
CUST_1088,Male,1,0,0,41,One year,DSL,61.94,2543.48,Indiana
CUST_1089,Female,0,0,0,45,Two years, None,107.87,4884.81,Hawaii
CUST_1090,Female,0,0,0,44,Month-to-month,fibre optic,43.25,1932.37,Arkansas
CUST_1091,Female,0,1,0,20,Two years,fibre optic,43.87,871.41,Florida
CUST_1092,Male,0,1,1,8,Month-to-month,fibre optic,47.85,366.69,Mississippi
CUST_1093,Female,1,1,0,1,One year,fibre optic,66.38,100.95,Oklahoma
CUST_1094,Female,0,0,0,24,Two years,DSL,113.46,2752.18,Georgia
CUST_1095,Female,0,0,0,12,One year,fibre optic,94.35,1150.76,Montana
CUST_1096,Female,0,1,0,53,One year,fibre optic,94.74,5011.84,Montana
CUST_1097,Male,1,0,0,10,One year,DSL,56.57,550.26,Texas
CUST_1098,Female,0,1,1,39,Month-to-month,DSL,56.16,2232.88,Wisconsin
CUST_1099,Male,0,0,1,32,One year,fibre optic,86.15,2765.98,Nevada
CUST_1100,Female,0,0,1,44,Month-to-month,DSL,84.11,3695.15,Montana
CUST_1101,Male,1,1,0,42,Two years, None,84.06,3511.02,New Hampshire
CUST_1102,Female,1,0,0,56,Month-to-month,fibre optic,88.77,5015.08,Delaware
CUST_1103,Male,0,0,1,42,Month-to-month,fibre optic,34.32,1462.22,Virginia
CUST_1104,Female,0,1,1,70,Two years, None,64.41,4529.73,Arkansas
CUST_1105,Male,0,1,1,16,One year,DSL,88.53,1398.84,Nebraska
CUST_1106,Male,0,0,0,6,Month-to-month,fibre optic,62.25,392.53,Connecticut
CUST_1107,Female,0,1,1,35,Month-to-month,fibre optic,35.0,1274.54,Ohio
CUST_1108,Male,0,1,1,70,Month-to-month,fibre optic,117.55,8246.57,Pennsylvania
CUST_1109,Female,0,0,1,69,Two years,DSL,91.04,6291.14,South Carolina
CUST_1110,Female,1,0,1,66,Two years,fibre optic,58.21,3853.06,Mississippi
CUST_1111,Female,1,1,0,35,Month-to-month,fibre optic,105.69,3682.98,Iowa
CUST_1112,Male,1,0,0,9,One year,fibre optic,96.24,889.86,Vermont
CUST_1113,Female,0,0,0,4,One year,DSL,114.27,447.19,New Jersey
CUST_1114,Female,0,1,0,63,Month-to-month, None,111.03,7017.51,Louisiana
CUST_1115,Male,0,0,0,14,Month-to-month,DSL,104.69,1466.65,New Mexico
CUST_1116,Male,0,0,0,12,Month-to-month,fibre optic,59.37,705.38,Oregon
CUST_1117,Female,0,1,0,13,Month-to-month,fibre optic,61.85,852.08,Washington
CUST_1118,Female,1,0,0,70,Month-to-month,fibre optic,111.27,7803.91,Texas
CUST_1119,Female,0,0,1,6,Month-to-month,fibre optic,59.25,404.12,Louisiana
CUST_1120,Male,0,0,0,2,One year,DSL,37.49,72.26,Indiana
