customer_id,month,data_used_gb,voice_minutes,support_calls,app_logins,downtime_minutes
CUST_1000,1,40.52,268.0,2,70,28
CUST_1000,2,65.84,350.7,0,23,28
CUST_1000,3,26.58,613.1,0,33,7
CUST_1000,4,20.3,176.0,0,70,14
CUST_1000,5,16.06,290.7,0,63,34
CUST_1000,6,3.13,202.9,0,55,4
CUST_1000,7,0.11,676.8,0,46,5
CUST_1000,8,46.6,120.3,0,82,27
CUST_1000,9,8.05,392.0,0,112,10
CUST_1000,10,5.86,622.3,1,91,19
CUST_1000,11,5.14,589.6,1,40,30
CUST_1000,12,18.0,497.6,1,117,11
CUST_1001,1,26.13,411.4,0,28,3
CUST_1001,2,26.21,729.4,0,117,12
CUST_1001,3,7.52,607.2,0,36,3
CUST_1001,4,29.82,433.4,2,79,6
CUST_1001,5,66.18,606.2,0,43,4
CUST_1001,6,37.36,741.2,0,76,18
CUST_1001,7,54.58,434.7,0,54,28
CUST_1001,8,6.73,115.4,0,105,8
CUST_1001,9,53.7,255.1,0,69,10
CUST_1001,10,16.98,600.5,0,85,17
CUST_1001,11,43.57,340.4,0,35,21
CUST_1001,12,2.89,236.5,1,115,17
CUST_1002,1,30.24,285.0,0,94,7
CUST_1002,2,13.98,362.4,0,42,0
CUST_1002,3,0.44,613.7,0,114,21
CUST_1002,4,16.92,699.1,0,117,11
CUST_1002,5,5.46,171.5,0,45,24
CUST_1002,6,21.23,499.6,0,74,21
CUST_1002,7,24.03,254.5,0,108,0
CUST_1002,8,14.64,247.2,1,86,28
CUST_1002,9,80.62,305.3,0,109,19
CUST_1002,10,26.8,406.7,0,69,18
CUST_1002,11,2.69,711.3,0,103,2
CUST_1002,12,17.62,397.2,0,54,28
CUST_1003,1,22.31,213.1,1,56,23
CUST_1003,2,1.65,503.9,0,60,27
CUST_1003,3,12.16,173.2,0,55,23
CUST_1003,4,6.69,279.7,1,58,12
CUST_1003,5,11.9,138.4,0,70,25
CUST_1003,6,11.04,656.2,1,52,38
CUST_1003,7,7.54,602.1,0,44,27
CUST_1003,8,74.77,152.5,0,27,30
CUST_1003,9,13.16,255.2,0,92,22
CUST_1003,10,44.11,211.9,0,103,18
CUST_1003,11,55.91,777.0,0,110,18
CUST_1003,12,22.54,117.3,0,119,7
CUST_1004,1,40.31,425.2,0,97,22
CUST_1004,2,23.75,747.2,0,40,22
CUST_1004,3,18.23,160.7,0,30,10
CUST_1004,4,38.64,384.2,0,52,15
CUST_1004,5,21.74,758.6,1,104,38
CUST_1004,6,45.49,427.4,0,66,32
CUST_1004,7,23.44,666.0,1,83,13
CUST_1004,8,44.13,495.9,1,45,8
CUST_1004,9,84.32,511.9,0,35,1
CUST_1004,10,5.05,478.7,0,31,11
CUST_1004,11,8.82,495.8,0,80,11
CUST_1004,12,10.34,156.3,0,65,21
CUST_1005,1,24.91,644.0,0,63,30
CUST_1005,2,8.58,561.0,1,41,36
CUST_1005,3,10.67,552.3,0,54,27
CUST_1005,4,7.92,130.2,1,85,7
CUST_1005,5,10.16,501.8,0,79,1
CUST_1005,6,4.96,588.2,0,67,36
CUST_1005,7,0.13,575.5,0,83,3
CUST_1005,8,0.6,780.7,1,54,34
CUST_1005,9,8.64,272.5,1,63,26
CUST_1005,10,19.1,787.6,1,26,17
CUST_1005,11,14.72,528.8,1,106,15
CUST_1005,12,10.02,114.3,0,24,0
CUST_1006,1,25.48,410.1,0,89,15
CUST_1006,2,96.89,446.7,0,61,35
CUST_1006,3,9.27,243.0,0,81,1
CUST_1006,4,1.66,231.7,0,88,30
CUST_1006,5,16.2,169.0,0,90,26
CUST_1006,6,10.67,217.8,0,38,0
CUST_1006,7,11.85,621.1,0,96,8
CUST_1006,8,0.67,116.3,0,115,28
CUST_1006,9,71.56,540.1,0,110,19
CUST_1006,10,21.21,236.7,0,47,15
CUST_1006,11,18.08,484.2,0,77,7
CUST_1006,12,53.31,586.7,0,51,6
CUST_1007,1,21.07,205.0,0,80,38
CUST_1007,2,7.83,301.2,0,108,16
CUST_1007,3,6.76,480.1,0,28,15
CUST_1007,4,4.78,241.3,0,70,0
CUST_1007,5,3.91,230.6,0,88,4
CUST_1007,6,15.55,447.7,0,66,38
CUST_1007,7,45.05,705.1,1,60,6
CUST_1007,8,25.89,185.3,1,84,16
CUST_1007,9,28.25,318.0,0,28,21
CUST_1007,10,24.09,435.0,1,53,32
CUST_1007,11,76.11,647.5,0,69,38
CUST_1007,12,20.26,209.4,0,112,33
CUST_1008,1,27.83,135.7,0,27,33
CUST_1008,2,3.2,754.6,0,50,4
CUST_1008,3,3.89,236.6,0,114,38
CUST_1008,4,9.68,355.6,0,93,3
CUST_1008,5,71.37,426.6,1,49,23
CUST_1008,6,18.05,421.4,0,87,32
CUST_1008,7,52.75,267.2,0,31,23
CUST_1008,8,48.92,229.9,2,111,39
CUST_1008,9,33.94,445.0,0,116,35
CUST_1008,10,0.44,314.2,0,66,16
CUST_1008,11,82.85,274.4,0,45,23
CUST_1008,12,13.71,444.1,0,35,36
CUST_1009,1,64.27,715.8,2,91,18
CUST_1009,2,27.46,459.9,0,46,14
CUST_1009,3,11.39,150.1,1,77,21
CUST_1009,4,73.79,643.9,0,82,8
CUST_1009,5,4.84,706.9,1,104,33
CUST_1009,6,167.69,618.6,1,88,30
CUST_1009,7,31.05,342.1,0,100,37
CUST_1009,8,153.36,334.1,0,31,31
CUST_1009,9,21.19,719.6,0,59,7
CUST_1009,10,67.57,536.8,0,112,22
CUST_1009,11,23.44,571.7,1,32,9
CUST_1009,12,32.7,360.9,0,65,2
CUST_1010,1,29.95,243.8,0,118,14
CUST_1010,2,3.62,192.2,1,86,13
CUST_1010,3,33.92,314.4,0,54,4
CUST_1010,4,16.92,263.7,1,70,16
CUST_1010,5,8.41,389.3,0,99,1
CUST_1010,6,28.81,182.2,2,45,22
CUST_1010,7,131.74,652.7,0,63,19
CUST_1010,8,11.5,570.8,1,87,25
CUST_1010,9,16.05,407.5,1,83,39
CUST_1010,10,6.46,795.9,2,62,4
CUST_1010,11,97.52,290.0,1,58,37
CUST_1010,12,11.74,216.1,0,113,20
CUST_1011,1,26.41,730.1,0,101,29
CUST_1011,2,38.7,163.2,0,67,3
CUST_1011,3,83.03,607.9,0,55,33
CUST_1011,4,10.56,630.4,0,70,15
CUST_1011,5,29.08,244.7,0,50,10
CUST_1011,6,2.21,371.9,0,62,21
CUST_1011,7,28.15,785.1,0,39,25
CUST_1011,8,40.24,504.2,0,83,10
CUST_1011,9,93.32,588.4,1,89,5
CUST_1011,10,84.23,768.7,0,107,26
CUST_1011,11,36.77,718.4,1,45,13
CUST_1011,12,47.99,126.2,1,106,8
CUST_1012,1,25.89,210.5,1,112,36
CUST_1012,2,34.5,333.5,1,44,24
CUST_1012,3,32.21,701.0,2,108,33
CUST_1012,4,27.07,640.8,0,47,8
CUST_1012,5,26.3,110.6,1,22,5
CUST_1012,6,4.28,212.9,0,58,22
CUST_1012,7,8.57,519.1,0,74,32
CUST_1012,8,13.24,614.6,0,35,14
CUST_1012,9,35.05,368.5,0,59,7
CUST_1012,10,62.93,514.6,1,103,5
CUST_1012,11,58.89,161.3,0,70,39
CUST_1012,12,10.94,559.7,1,105,2
CUST_1013,1,54.95,176.2,1,107,39
CUST_1013,2,17.15,561.3,2,83,13
CUST_1013,3,36.28,236.5,0,84,37
CUST_1013,4,41.59,785.9,0,101,30
CUST_1013,5,6.11,549.9,0,36,29
CUST_1013,6,3.97,321.2,2,24,21
CUST_1013,7,38.28,164.5,0,109,25
CUST_1013,8,8.22,300.1,0,65,13
CUST_1013,9,61.59,292.2,0,97,15
CUST_1013,10,30.76,363.1,0,96,39
CUST_1013,11,14.23,284.6,0,82,11
CUST_1013,12,36.44,437.9,1,48,25
CUST_1014,1,47.14,381.1,0,63,35
CUST_1014,2,14.33,522.8,0,115,6
CUST_1014,3,1.52,419.3,0,107,12
CUST_1014,4,55.41,403.1,0,86,10
CUST_1014,5,27.99,278.1,1,100,12
CUST_1014,6,17.02,316.0,0,55,2
CUST_1014,7,48.83,427.6,0,119,10
CUST_1014,8,4.31,308.6,0,41,6
CUST_1014,9,2.53,545.1,1,84,35
CUST_1014,10,73.57,584.1,1,114,18
CUST_1014,11,66.2,758.9,1,69,36
CUST_1014,12,4.71,773.3,0,23,9
CUST_1015,1,8.41,193.7,0,69,12
CUST_1015,2,15.43,457.5,0,56,13
CUST_1015,3,20.45,218.0,1,39,36
CUST_1015,4,96.81,594.0,0,105,32
CUST_1015,5,2.49,672.4,0,93,35
CUST_1015,6,31.91,787.8,0,38,11
CUST_1015,7,0.41,544.9,1,33,2
CUST_1015,8,20.74,287.7,1,83,28
CUST_1015,9,2.56,471.9,1,32,13
CUST_1015,10,43.1,762.0,1,77,25
CUST_1015,11,5.55,597.1,1,29,27
CUST_1015,12,32.87,733.3,0,40,10
CUST_1016,1,8.14,358.4,0,102,32
CUST_1016,2,23.4,545.0,0,44,34
CUST_1016,3,26.79,509.3,1,82,32
CUST_1016,4,30.38,582.2,0,103,9
CUST_1016,5,1.54,198.8,0,118,9
CUST_1016,6,9.98,343.7,0,54,21
CUST_1016,7,13.82,738.6,0,42,19
CUST_1016,8,38.82,389.0,0,22,24
CUST_1016,9,37.38,238.1,3,68,28
CUST_1016,10,9.96,715.7,2,87,9
CUST_1016,11,3.8,450.7,1,38,19
CUST_1016,12,38.94,734.1,0,62,1
CUST_1017,1,20.67,635.9,0,64,6
CUST_1017,2,25.22,288.9,1,21,36
CUST_1017,3,25.11,571.1,0,118,18
CUST_1017,4,34.19,179.1,0,97,9
CUST_1017,5,89.32,520.4,0,71,33
CUST_1017,6,1.42,176.9,0,89,12
CUST_1017,7,9.72,385.3,1,87,3
CUST_1017,8,7.76,341.1,0,104,36
CUST_1017,9,63.95,788.7,0,89,14
CUST_1017,10,87.63,647.9,0,34,37
CUST_1017,11,37.35,380.0,1,107,33
CUST_1017,12,5.14,437.7,0,79,16
CUST_1018,1,4.56,724.3,1,84,21
CUST_1018,2,51.54,603.7,0,74,17
CUST_1018,3,14.1,619.0,0,103,2
CUST_1018,4,56.21,421.2,0,23,18
CUST_1018,5,66.06,159.9,1,95,34
CUST_1018,6,4.61,768.6,0,24,38
CUST_1018,7,21.41,148.7,0,50,17
CUST_1018,8,94.06,352.7,1,31,20
CUST_1018,9,4.29,346.9,0,67,1
CUST_1018,10,67.62,170.0,1,107,1
CUST_1018,11,3.01,151.8,2,119,31
CUST_1018,12,8.56,682.7,0,74,24
CUST_1019,1,1.25,714.3,0,47,39
CUST_1019,2,11.16,296.8,0,91,18
CUST_1019,3,4.29,555.8,0,104,37
CUST_1019,4,27.41,613.5,0,66,11
CUST_1019,5,11.71,639.6,1,104,35
CUST_1019,6,5.57,202.3,0,54,3
CUST_1019,7,0.8,117.5,0,33,23
CUST_1019,8,9.79,509.4,2,25,2
CUST_1019,9,1.53,239.3,0,73,10
CUST_1019,10,4.87,511.5,0,114,28
CUST_1019,11,26.14,185.9,0,83,4
CUST_1019,12,30.29,676.8,0,38,36
CUST_1020,1,5.01,317.5,0,103,37
CUST_1020,2,10.14,735.0,0,95,15
CUST_1020,3,12.14,428.3,0,93,6
CUST_1020,4,0.61,342.9,1,50,23
CUST_1020,5,26.25,508.8,0,77,19
CUST_1020,6,12.4,261.1,0,72,20
CUST_1020,7,59.84,148.4,0,74,19
CUST_1020,8,69.26,790.8,0,58,1
CUST_1020,9,20.88,339.9,0,42,5
CUST_1020,10,17.95,719.7,0,90,26
CUST_1020,11,14.59,517.9,0,79,27
CUST_1020,12,53.1,390.3,0,22,3
CUST_1021,1,40.52,160.8,0,43,30
CUST_1021,2,60.51,344.8,0,37,28
CUST_1021,3,8.68,431.6,0,92,5
CUST_1021,4,3.19,150.2,0,118,16
CUST_1021,5,1.97,564.6,0,32,22
CUST_1021,6,5.99,763.9,0,93,38
CUST_1021,7,43.64,613.6,0,92,5
CUST_1021,8,46.97,748.0,0,21,17
CUST_1021,9,5.5,212.2,0,110,9
CUST_1021,10,120.07,594.5,0,85,15
CUST_1021,11,5.4,249.6,0,77,27
CUST_1021,12,26.76,512.8,1,32,6
CUST_1022,1,49.35,478.3,0,22,25
CUST_1022,2,7.01,709.2,1,98,5
CUST_1022,3,1.42,142.9,0,105,4
CUST_1022,4,10.31,649.1,1,53,30
CUST_1022,5,50.96,572.5,0,38,29
CUST_1022,6,70.71,412.3,0,24,10
CUST_1022,7,96.16,435.9,0,104,14
CUST_1022,8,42.55,233.3,0,61,1
CUST_1022,9,3.23,755.2,0,60,26
CUST_1022,10,8.34,375.1,0,58,9
CUST_1022,11,44.95,318.2,0,109,22
CUST_1022,12,75.36,429.0,0,105,4
CUST_1023,1,21.28,528.8,0,50,22
CUST_1023,2,6.44,669.2,0,113,14
CUST_1023,3,18.96,490.9,0,75,24
CUST_1023,4,30.93,351.3,0,63,27
CUST_1023,5,10.6,405.3,1,23,30
CUST_1023,6,32.14,503.7,0,71,3
CUST_1023,7,2.0,777.9,0,89,26
CUST_1023,8,5.11,323.7,0,31,8
CUST_1023,9,12.43,389.4,0,86,10
CUST_1023,10,49.21,287.0,0,62,10
CUST_1023,11,8.11,735.7,0,52,33
CUST_1023,12,32.16,734.4,0,81,18
CUST_1024,1,43.47,671.7,0,31,37
CUST_1024,2,2.22,760.3,2,88,38
CUST_1024,3,14.38,472.3,0,37,23
CUST_1024,4,54.85,436.9,2,92,15
CUST_1024,5,13.21,128.1,0,84,28
CUST_1024,6,16.76,142.7,0,76,31
CUST_1024,7,3.98,314.9,0,118,14
CUST_1024,8,36.43,679.6,1,85,36
CUST_1024,9,102.27,522.0,0,28,20
CUST_1024,10,58.13,738.8,0,21,19
CUST_1024,11,4.95,587.5,1,25,6
CUST_1024,12,16.7,415.2,3,86,28
CUST_1025,1,73.14,601.9,0,51,1
CUST_1025,2,98.67,319.5,0,109,38
CUST_1025,3,156.29,446.8,0,34,12
CUST_1025,4,18.97,785.5,0,49,27
CUST_1025,5,75.7,345.1,1,81,34
CUST_1025,6,8.06,286.9,0,108,3
CUST_1025,7,13.37,437.9,0,114,8
CUST_1025,8,94.96,543.2,0,21,10
CUST_1025,9,11.03,197.9,0,88,32
CUST_1025,10,55.62,788.3,0,75,36
CUST_1025,11,43.57,181.8,1,53,2
CUST_1025,12,6.06,793.7,1,66,30
CUST_1026,1,49.52,249.2,0,77,27
CUST_1026,2,42.01,156.7,1,41,1
CUST_1026,3,55.69,295.5,2,25,6
CUST_1026,4,30.27,271.6,0,20,30
CUST_1026,5,8.72,684.0,0,56,0
CUST_1026,6,101.53,171.8,0,103,1
CUST_1026,7,26.37,239.3,0,31,19
CUST_1026,8,31.06,420.5,0,68,15
CUST_1026,9,17.53,280.1,0,69,39
CUST_1026,10,3.29,264.9,0,89,7
CUST_1026,11,97.78,249.5,0,55,37
CUST_1026,12,6.93,790.5,1,39,18
CUST_1027,1,3.79,133.6,0,60,22
CUST_1027,2,27.76,472.0,0,90,9
CUST_1027,3,38.73,300.3,0,58,18
CUST_1027,4,73.09,784.8,0,23,32
CUST_1027,5,9.67,214.2,1,109,12
CUST_1027,6,9.11,711.4,0,88,10
CUST_1027,7,41.16,458.8,1,53,38
CUST_1027,8,45.22,696.2,0,22,8
CUST_1027,9,73.53,647.5,0,38,9
CUST_1027,10,47.14,784.6,0,22,10
CUST_1027,11,41.02,541.6,1,75,5
CUST_1027,12,8.56,652.5,0,43,5
CUST_1028,1,35.56,353.2,0,91,11
CUST_1028,2,0.91,560.6,0,49,10
CUST_1028,3,68.79,593.0,1,63,10
CUST_1028,4,10.31,568.0,0,22,5
CUST_1028,5,25.42,428.7,0,114,14
CUST_1028,6,0.14,751.2,0,97,1
CUST_1028,7,0.4,364.0,0,37,38
CUST_1028,8,86.58,123.0,0,78,29
CUST_1028,9,21.95,544.9,0,73,5
CUST_1028,10,51.66,411.9,0,92,35
CUST_1028,11,14.93,401.3,1,26,8
CUST_1028,12,3.08,721.6,0,50,29
CUST_1029,1,14.19,499.6,2,26,2
CUST_1029,2,42.46,691.9,0,118,10
CUST_1029,3,26.12,199.5,0,91,21
CUST_1029,4,69.54,409.4,0,52,23
CUST_1029,5,111.98,605.2,0,94,39
CUST_1029,6,12.24,686.0,0,71,27
CUST_1029,7,10.06,391.2,0,97,16
CUST_1029,8,15.65,261.2,2,27,37
CUST_1029,9,13.65,709.8,0,37,13
CUST_1029,10,121.29,241.5,0,78,3
CUST_1029,11,1.12,226.7,0,101,10
CUST_1029,12,25.96,243.6,0,63,35
CUST_1030,1,125.03,357.9,0,88,38
CUST_1030,2,8.34,147.7,0,53,23
CUST_1030,3,37.12,150.4,0,118,10
CUST_1030,4,20.04,745.1,2,39,7
CUST_1030,5,7.05,213.1,0,56,21
CUST_1030,6,13.06,598.6,0,118,20
CUST_1030,7,54.41,583.6,1,39,26
CUST_1030,8,58.12,609.9,0,40,33
CUST_1030,9,26.45,202.4,0,65,18
CUST_1030,10,17.08,360.4,0,24,12
CUST_1030,11,22.71,637.4,1,30,16
CUST_1030,12,6.96,479.9,0,54,14
CUST_1031,1,17.51,648.8,1,52,23
CUST_1031,2,4.95,243.5,1,108,38
CUST_1031,3,5.45,777.3,1,63,13
CUST_1031,4,10.75,193.4,0,106,34
CUST_1031,5,13.05,196.1,0,82,19
CUST_1031,6,24.79,792.9,0,56,36
CUST_1031,7,31.89,400.8,2,108,33
CUST_1031,8,1.94,555.8,0,62,16
CUST_1031,9,13.08,775.8,0,51,27
CUST_1031,10,9.75,753.9,0,108,4
CUST_1031,11,8.67,293.3,0,60,26
CUST_1031,12,10.18,563.2,1,62,16
CUST_1032,1,38.75,434.6,0,80,29
CUST_1032,2,16.67,623.1,0,99,15
CUST_1032,3,4.26,317.3,1,65,6
CUST_1032,4,30.16,752.8,0,95,22
CUST_1032,5,17.42,209.5,0,108,27
CUST_1032,6,43.55,215.8,0,75,39
CUST_1032,7,28.13,208.2,2,68,9
CUST_1032,8,20.76,416.5,0,113,35
CUST_1032,9,1.55,504.5,0,55,17
CUST_1032,10,7.18,488.5,0,69,3
CUST_1032,11,3.42,146.5,0,86,6
CUST_1032,12,23.2,410.1,1,40,38
CUST_1033,1,26.69,541.6,0,37,9
CUST_1033,2,0.87,422.5,0,70,4
CUST_1033,3,44.23,351.5,0,90,22
CUST_1033,4,75.36,114.0,1,91,28
CUST_1033,5,14.76,428.6,0,38,13
CUST_1033,6,12.77,762.7,0,111,16
CUST_1033,7,31.85,524.6,0,71,28
